label,ssim,psnr
001_001_10,0.6940319538116455,14.040833473205566
001_001_11,0.7062007188796997,14.504008293151855
001_001_12,0.6609017848968506,14.769929885864258
001_001_13,0.7107616066932678,15.559454917907717
001_001_14,0.7060562372207642,15.544708251953123
001_001_15,0.6983941197395325,15.405431747436523
001_001_16,0.7007970809936523,15.760493278503418
001_001_17,0.7012858986854553,15.79612636566162
001_001_18,0.7030453681945801,15.807191848754885
001_001_19,0.7031686902046204,15.81613063812256
001_001_1,0.5849466919898987,14.432382583618164
001_001_20,0.7043037414550781,15.634808540344238
001_001_21,0.6998169422149658,15.756481170654297
001_001_22,0.7048138976097107,15.892630577087402
001_001_23,0.7537487745285034,15.401422500610352
001_001_24,0.7090329527854919,14.551971435546877
001_001_25,0.7538335919380188,15.891619682312012
001_001_26,0.7442150115966797,15.92686653137207
001_001_27,0.716735303401947,14.868430137634276
001_001_28,0.6411626935005188,13.925175666809082
001_001_29,0.5832517743110657,13.291220664978027
001_001_2,0.576108992099762,13.317686080932615
001_001_30,0.7447839379310608,15.013047218322754
001_001_31,0.7412567138671875,14.707165718078612
001_001_32,0.7306210398674011,14.72242546081543
001_001_33,0.7451862692832947,15.005670547485352
001_001_34,0.7315923571586609,15.044378280639648
001_001_35,0.7399606108665466,14.99985122680664
001_001_36,0.6732962727546692,14.242199897766112
001_001_37,0.7753512859344482,16.011144638061523
001_001_38,0.7381484508514404,15.43266773223877
001_001_39,0.519404411315918,12.839284896850586
001_001_3,0.4220480322837829,12.618937492370604
001_001_40,0.6620707511901855,15.081636428833008
001_001_41,0.7450185418128967,14.983718872070312
001_001_42,0.5039118528366089,13.301137924194336
001_001_43,0.6170933842658997,13.486952781677246
001_001_44,0.6823626160621643,15.579434394836426
001_001_45,0.5068816542625427,13.075288772583008
001_001_46,0.5863249897956848,13.075839042663574
001_001_47,0.5960264801979065,13.4163236618042
001_001_48,0.6185140013694763,14.294825553894045
001_001_49,0.7509318590164185,15.856953620910645
001_001_4,0.6325395703315735,13.92276668548584
001_001_50,0.2265961766242981,6.282742023468018
001_001_51,0.6027259230613708,12.705001831054688
001_001_52,0.4859282970428467,12.611613273620604
001_001_53,0.5066766738891602,13.67456340789795
001_001_54,0.5568301677703857,13.399089813232422
001_001_55,0.4720832705497741,12.427400588989258
001_001_56,0.5238816142082214,11.89454460144043
001_001_57,0.6974575519561768,15.515142440795898
001_001_58,0.5049362182617188,13.220194816589355
001_001_59,0.6235288381576538,13.83225440979004
001_001_5,0.6714073419570923,15.297919273376465
001_001_60,0.4759573340415954,11.868924140930176
001_001_61,0.4804280400276184,12.455740928649902
001_001_62,0.551396906375885,13.532299995422363
001_001_63,0.6364652514457703,14.37885284423828
001_001_64,0.7050961256027222,15.915926933288574
001_001_65,0.5270984768867493,13.138025283813477
001_001_66,0.6897432804107666,14.021074295043944
001_001_67,0.5358924269676208,13.05381679534912
001_001_68,0.5906819105148315,13.50807285308838
001_001_69,0.6583208441734314,14.81345272064209
001_001_6,0.6898455619812012,15.302392959594728
001_001_70,0.5659805536270142,13.419346809387209
001_001_71,0.6366061568260193,14.00855827331543
001_001_72,0.6640108823776245,14.062546730041504
001_001_73,0.6658318042755127,13.902195930480955
001_001_74,0.252165675163269,10.958566665649414
001_001_75,0.4606598615646362,12.686975479125977
001_001_76,0.678764283657074,15.60289192199707
001_001_77,0.7228465676307678,15.806130409240724
001_001_78,0.6764332056045532,15.080857276916504
001_001_79,0.7191665172576904,15.186816215515137
001_001_7,0.6765972375869751,15.646370887756348
001_001_80,0.7134716510772705,15.309361457824709
001_001_81,0.7004027366638184,15.264534950256348
001_001_82,0.6557615995407104,15.062294006347656
001_001_83,0.6513071656227112,14.977865219116213
001_001_84,0.7001890540122986,15.220340728759766
